optimistic_1,optimistic_2,optimistic_3,optimistic_4,peer_1,peer_2,peer_3,peer_4,peer_5,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5
0.7277951112208481,0.19222913065924446,0.22679625597629682,0.28245157235527824,0.12111961572130817,0.03478036407712509,0.049392830688424504,0.05273731229377567,0.028843348072994993,0.11528360755089673,0.1729141882337097,0.15243204417409262,0.08426297950663285,0.1454737267401405
0.19222913065924446,0.6194473749186326,0.2502637426769321,0.2958294987766829,0.10326367533837624,0.11831384256245651,0.07611501425332765,0.08525061165854864,0.0617831249579134,0.055116607932481874,0.06999842876703104,0.07803416309398217,0.07771991650019079,0.1615676415793136
0.22679625597629682,0.2502637426769321,0.8458844919305964,0.49042670198199817,0.1393683643464793,0.1281116024331665,0.08189490696056205,0.18597786806132297,0.10074970258804516,0.09807860654081839,0.11529483064353213,0.1405243428879262,0.15922201521851362,0.16860452066171355
0.28245157235527824,0.2958294987766829,0.49042670198199817,0.8868936724203722,0.15793135956544185,0.06830374177908465,0.09332001526340598,0.15719063545150502,0.13438531121635877,0.10219748153801261,0.12991852034746695,0.18037754483625507,0.1640816143296447,0.17613521582007138
0.12111961572130817,0.10326367533837624,0.1393683643464793,0.15793135956544185,0.7232385356108729,0.2768736953154811,0.17592197705999865,0.26586384144014724,0.40645552288388587,0.2379744562411618,0.10797737424524702,0.040470472043276244,0.10909968350878768,0.2003995420978205
0.03478036407712509,0.11831384256245651,0.1281116024331665,0.06830374177908465,0.2768736953154811,0.6001212094004624,0.1962245516374492,0.2810150164979462,0.32676034207986354,0.1296603892168526,0.06283809566564162,-0.043556822518013065,0.07104217638212386,0.08022266615788647
0.049392830688424504,0.07611501425332765,0.08189490696056205,0.09332001526340598,0.17592197705999865,0.1962245516374492,0.38163004197436645,0.2527440461493569,0.19674081389867792,0.131714215169132,0.05190680343875558,0.012816771789634352,0.0485398756481336,0.1437678166595587
0.05273731229377567,0.08525061165854864,0.18597786806132297,0.15719063545150502,0.26586384144014724,0.2810150164979462,0.2527440461493569,0.5993131467307131,0.3341900294045027,0.20327265381248458,0.12798814841417702,0.0025027496576956747,0.1269780700769904,0.16393571412538438
0.028843348072994993,0.0617831249579134,0.10074970258804516,0.13438531121635877,0.40645552288388587,0.32676034207986354,0.19674081389867792,0.3341900294045027,0.6011537339229198,0.2189737604094184,0.1152387151803551,-0.029875872595452404,0.11518259971717806,0.1685035128279949
0.11528360755089673,0.055116607932481874,0.09807860654081839,0.10219748153801261,0.2379744562411618,0.1296603892168526,0.131714215169132,0.20327265381248458,0.2189737604094184,0.656416242059662,0.2340351507261341,0.11342057417341923,0.18555139054117753,0.3051558887567058
0.1729141882337097,0.06999842876703104,0.11529483064353213,0.12991852034746695,0.10797737424524702,0.06283809566564162,0.05190680343875558,0.12798814841417702,0.1152387151803551,0.2340351507261341,0.6637112522726762,0.18666247671208278,0.1973693070862607,0.2933379722116226
0.15243204417409262,0.07803416309398217,0.1405243428879262,0.18037754483625507,0.040470472043276244,-0.043556822518013065,0.012816771789634352,0.0025027496576956747,-0.029875872595452404,0.11342057417341923,0.18666247671208278,0.8568606765280241,0.14237615317276828,0.17693205539718526
0.08426297950663285,0.07771991650019079,0.15922201521851362,0.1640816143296447,0.10909968350878768,0.07104217638212386,0.0485398756481336,0.1269780700769904,0.11518259971717806,0.18555139054117753,0.1973693070862607,0.14237615317276828,0.6162375704249062,0.30425804134587325
0.1454737267401405,0.1615676415793136,0.16860452066171355,0.17613521582007138,0.2003995420978205,0.08022266615788647,0.1437678166595587,0.16393571412538438,0.1685035128279949,0.3051558887567058,0.2933379722116226,0.17693205539718526,0.30425804134587325,0.6239815043433369
